school_state,teacher_prefix,project_grade_category,teacher_number_of_previously_posted_projects,clean_categories,clean_subcategories,essay,price,project_is_approved
il,ms,grades_prek_2,1,literacy_language,literacy,my students yearn classroom environment matches desire learn with education changing daily need classroom meet needs first graders i privilege teaching incredible group six seven year olds absolutely love learn i completely blown away love learning each day new adventure enjoy learning nonfiction text hands activities many students active learners benefit kinesthetic activities sometimes learning sitting seat difficult i want every child opportunity focus energy order best school ideally i would love delve right flexible seating students provided many different seating options chairs hokki stools mats ground etc freedom choose ever seat feel need my student would able choose seating option best help learn in addition pencil sharpener mobile easel magnetic strips mounting tape help make classroom better suited 6 7 year olds this project beneficial students able better focus energy something small choosing seat help encourage positive learning environment promotes learning students the easel help make classroom mobile dry erase wheels magnetic strips mounting tape pencil sharpener allow resources students school day,393.83,1
oh,mr,grades_9_12,0,appliedlearning music_arts,extracurricular visualarts,media cinematography extremely fast growing subject area since rise technology students captivated social media outlets twitter instagram at tri valley i teacher media class aim create meaningful videos promote great school my students media mostly junior senior students extremely creative their imaginations display sit think ideas next video commercial show school it joy watch light see video made playing cafeteria 400 students watch the students imaginations often times bigger equipment i feel bad telling cannot get certain shots footage equipment not par the students love using editing equipment school provides not like old cameras i want able let creative juices flow equipment keep the materials i requesting used multitude ways first phantom video drone used make commercial school put school website the footage drone capture perfect intro video great school little town the drone also used get unique footage various sporting events imagine drone footage game winning touchdown game winning home run softball game last leg 4x100 meter relay team the footage captured drone uploaded editing put onto school athletic websites promote culture tri valley the gopro camera used much way we students assigned different sporting events capture footage gopro we upload footage merge footage drone complete videos uploaded school athletic website my project make difference my project give students something look forward every single day my project show community great young people district the donations would greatly appreciated students showcase creativity entire school i want classroom students learning inquiry solving problems a generous donation would allow capture students attention,1284.12,1
oh,mrs,grades_prek_2,72,math_science appliedlearning,appliedsciences earlydevelopment,computer coding robotics second graders excited when could better time introduce students common place near future we small rural school northwest ohio we close knit community best provide essentials classroom supplies we not money fancy technology often found using donated technology several years date we new technology teacher district endeavoring update equipment expose students real world technology using robot mouse kit students create maze mouse find cheese then use simple coding program mouse twists turns you help dream become reality because words attributed plato effective kind education child play amongst lovely things please help create opportunity students,50.96,1
ky,mrs,grades_3_5,1,math_science literacy_language,environmentalscience literacy,i teach 4th grade math writing social studies science my students excited learners constantly want exceed expectations they work together class make every single day despite many struggling basic needs met due various circumstances my 4th grade students excited learners constantly want exceed expectations my students work together class make every single day they work hard treat love respect skill taught practiced school many students come low income families difficult time coming basic classroom needs like pencils paper tissues very students materials home help succeed school even fewer quality reading materials home this turn made motivating students read great challenge time for kids extremely engaging real world these articles pique students interest informational texts inspire want learn this project change lives students with quality engaging reading materials project instill love reading learning across content areas rest academic personal lives without quality engaging reading materials motivating students love reading great challenge,6.81,1
sc,mrs,grades_3_5,6,math_science,appliedsciences environmentalscience,in classroom explore delve real world problems we use diverse backgrounds bring different perspective class help us solve create engineer together we not set curriculum follow science engineering practices grade level my students varied fabulous i teach kindergarten fifth grade my students come walks life different backgrounds histories cultures understandings we work collectively use differences enhance learning understanding world my school amazing students teachers feel supported my students come questions want answers explore questions together we use library public library school resources online resources things enhance learning however students hunger new resources supplies able explore together my students work various modules class we look real world stem application focus engineering design process my students use see compost container explore different things biodegrade soil enriched certain plants materials my students able use books stem amusement parks one minute science mystery books lego chain reactions kit geology kit i able use book hands stem activities enhance curriculum these items specifically chosen go along current modules enhance students learning provide opportunities students explore topics gain deeper understanding students use items find relevance lives find projects explore home parents younger siblings this creates younger stem learners provides wider community net stem initiativemy students find even footing class we start experiences explore together allowing differences fuel learning instead hinder having new supplies allow students hands really charge direction learning makes learning valid meaningful it not help my students also families students excited take knowledge home,151.15,1
sc,mrs,grades_prek_2,4,literacy_language math_science,literacy mathematics,a typical day classroom starts 30 minutes school day my students trickle quickly start working mastering addition facts ipads there lots cheers celebrating students reach individual goals learning it awesome way start day welcome class laughter learning go hand hand this classroom motto last 18 years my students much fun not even realize learning i teach 15 wonderful first graders they show happiness eagerness learn overcome many obstacles we title i school more 95 students free lunch program i often one providing students materials supplies need successful classroom despite obstacles face come school morning smile curiosity learn we lucky one one technology school every student kindergarten fifth grade ipads use school my students use ipads throughout day practice reading math skills use apps explain thinking ideas create original works however students ear buds dollar store they work poorly break constantly not last long unfortunately families afford new headphones allow students use ipads effectively classroom if students good quality headphones microphones able maximize use ipads apps they able use apps like chatterpix explain everything reflexmath kids a z effectively they able read ebooks record reading able evaluate reading checking fluency reading expression they able use many apps require follow spoken directions,13.99,1
fl,mrs,grades_3_5,2,history_civics literacy_language,history_geography literature_writing,we love technology in classroom technology enhances education daily basis as paperless classroom daily assignments completed online our class motto teamwork makes the dream work in classroom students collaborate think outside box daily basis i 50 bright hard working technology motivated kids my students incredibly motivated learn anything everything digital my school located close beach result academic focus school marine science our school pre k 6th grade hardest working bunch teachers ever the ability place one virtual reality device student hands would allow us take whole class field trips anywhere world including ocean these field trips would made possible using free vr apps apple app store we recently read novel peak roland smith students absolutely loved taking virtual field trip mt everest using personal virtual reality device the ability look viewfinder feel like location thousands miles away priceless by allowing students opportunity take virtual field trips world become excited more learning the possibilities virtual reality endless students gain access learning experiences beyond classroom walls,401.93,0
oh,mrs,grades_3_5,0,literacy_language,literacy,teachers love teaching teach children love learning in classroom students truly want learn i want give every tool possible help successful life i know students anything given right tools work hard they inspire each day students enter classroom big smile eager learn the students school i teach low economic status my students enter third grade extremely grade level require intense intervention support i provide support co taught classroom also provide additional intervention small groups the students limited no access technology home may not always support home my students lack basic phonics word attack skills this affects ability read grade level text complete class work my students want successful try hard classroom the students love learning new things motivated using new materials sometimes work seem overwhelming students lack tools need successful i want support students reading way i the students use ipads classroom small group intervention time we use ipad apps work phonics basic reading skills students also listen books ipad able answer questions check understanding my students also use osmo system exciting system allows students learn reading skills using hands technology the ipads osmo system help motivate students learn read way motivating engaging using technology prepare students future expected know read use technology without materials challenge motivate students want read use basic reading skills struggle much my students struggle read technology motivates engages my students able learn way not possible ipads classroom my students able work reading skills struggling using different types apps the students able listen books read aloud ipads overall students prepared future technology able use daily basis,379.98,1
ca,mrs,grades_3_5,6,literacy_language,literacy,do remember book read made fall love reading that book poem discussion made dive deeper my students love close reading texts love books love authors love words my students constantly devouring books my students part exciting adventure they going brand spanking new school at new school diverse community blending together first time these students leaving comfort previous school taking step explore set culture new community our school focus stem education pushed develop 21st century skills my students encouraged pushed collaborators cross cultural communicators team members kids resiliency adaptability they exciting year i not wait help facilitate journey classroom we fortunate enough project school means schools fully committed teaching the teacher college columbia reading writing workshop project lesson this curriculum amazing my students learning skills reading writing ways i not learn try i much older one essential piece fantastic curriculum book club units the students engage historical fiction book club fiction book club these book clubs facilitate student conversation authentic books as new teacher book shelves bare temporarily filled borrowed books the challenge book clubs students need choice plenty books get hands opening new school exciting endeavor also full uncertainty i not know funded library i provide students this one area provided students would huge blessing not importantly students,142.17999999999998,1
mo,mrs,grades_9_12,3,literacy_language,literacy literature_writing,my students learning become lovers reading i redesigned lessons honors freshman next year instead working textbooks lessons guided individual practice choice novels my students need novels my students freshman honors english i classroom this district first year honors class english i i need choice novels use lessons we poorer school lot kiddos most kids not books home parents enjoy reading i starting scratch even though honors class they eager start high school excel prepare college future they going use novel everyday my lessons require books student lesson tailored book reading if working figurative language class lesson guided independent practice find examples figurative language within choice novels we close read analyze break get better understanding these donations make massive difference classroom i novels i not intense ones honors class i want challenge students topics difficult present lives world around they move high school covered lot different topics types writing reading lots books falling love reading,351.54,1
mi,mrs,grades_prek_2,3,appliedlearning health_sports,earlydevelopment gym_fitness,throughout school year i hope enable students develop love reading discovering creating students classroom opportunity explore learning large group activities small group learning times interactive play students teachers my school pre k 8 school teachers staff determined help children detroit succeed students classroom beginning education pre k i strive enable students shine brightly learn using high scope curriculum the shopping carts would wonderful addition dramatic play area with children able work social skills they learn sharing purchasing items cost different items similarly parachute used encourage cooperative play the children fun learning exercising i looking forward adding beads art area classroom encourage creativity well fine motor skills children work stringing donations project allow encourage students curiosity develop love learning with resources students start right path education,193.53,1
ny,mrs,grades_3_5,166,math_science music_arts,environmentalscience visualarts,children spend much much time connected media plugged virtual socialization let bring back good old fashioned unplugged face face fun learning work hands create something ordinary object i teach wonderful pre k 5th grade school my students terrific young people diverse backgrounds many first second generation americans on given day close 100 attendance attests fact students families take learning seriously last year school implemented per week clubs program all students 4th 5th grades scheduled take part fun club experience this year i co teaching duct tape club students create things like flowers wallets bracelets headbands enriching important academic life skills order strengthen social skills i requesting many rolls duct tape with supplies participating students crafting together students lead many demonstrations gives even greater opportunity express build self confidence while design learning important skills including following directions trouble shooting patience clubs engaging nonthreatening social with arrival spring going focus last sessions science perspective looking natural surroundings take inspiration plants flowers insects clouds by materials available students able learn crafting skills fun absorbing way there enough materials every child actively engaged create something two hands,64.89,1
ca,mr,grades_9_12,10,literacy_language,literacy literature_writing,education nurturing justice engaging students thinking critically democracy entrusting future that everything classroom centers around developing habits mind create critical thinkers articulate speakers confident individuals students city attend seeking stronger deeper open education ensure achieving next steps life these students goals surpass expectations placed upon society voices historically excluded conversations when think creating encompassing dialogue diversity points view no conversation would complete without i plan using texts help students develop voice critical reflection world around for monster i conducting unit racial profiling stereotyping criminal justice system for bless me ultima i engaging students unit revolving around theme coming age mentors guides together stories help students able better understand experiences urban teenagers rapidly evolving world the combination two texts helps better represent stories exist not outside classroom better yet within classroom although literature often reflects themes lives not always affirm stories cultural experiences behind themes that i requesting items students may work projects better help nurture voices classroom therefore broader world,12.47,1
va,mrs,grades_3_5,0,math_science,environmentalscience mathematics,everyday students interact technology enhance learning experience days technology not available if classroom ipad minis would technology count my students diverse group whose learning needs range need individualized attention master concepts require additional extension maintain interest they love learn explore students experiences technology range students whose experience school fluent use devices home my students enthusiastic learning particularly excited learning together we lot collaborative learning order experience like work team since team work wave future my students love learn work teams they use ipad minis protective cases dig research use qr codes apps learning they not benefits technology affords also learn important social skills sharing working together they developing leaders learned work hard collaborate groups with addition two ipads classroom students opportunity use technology frequently enhance learning this especially true little no technology home to compete 21st century need level playing field everyone my students awesome deserve technology available learn compete future,279.98,1
ny,ms,grades_3_5,7,specialneeds,specialneeds,i teach six amazing children autism each day make laugh questions comments they make understand smart much potential one my students love learn love engaging new motivating materials my students determined overcome challenges achieve things others thought impossible determined become independent day my students deserve new supplies advanced technology help achieve not reach surpass goals my students need ipad mini kindle cases covers document camera markers books butterfly garden dry erasers scissors alphabet stamps headphones ipads osmo gaming center new writing center the osmo gaming center along new ipad valuable students improving social skills the game center allow students play together ipad taking turns cheering the document camera assist us across subject areas allow show student work examples sheet paper right onto smart board the writing center along markers scissors encourage students keep writing continue try hardest the headphones allow students utilize ipads independently without distracting learners my students love learn need challenged engaged daily order continue grow succeed learners classroom with help i open many new doors provide many enriching opportunities students,944.92,1
ga,ms,grades_prek_2,2,literacy_language,esl literacy,everyday students excited come show books practiced reading i want students excited reading writing classroom my biggest challenge students become frustrated reading they students speak two languages struggle reading writing classroom they eager learn issues learning blend sounds recognizing letters the school predominantly hispanic students free reduced lunch with materials i able implement reading program help students progress exponentially classroom they work daily reading different books learning blend sounds order read efficiently they also able practice writing skills build sentences the donations help improve classroom right i not enough materials start reading program i want students enough classroom thrive reading the magnetic letters give creative way build words sentence strips help create sentences this help change lives not feel far behind reading new program materials definitely help,240.51,0
md,mrs,grades_prek_2,1,literacy_language,esl literacy,i half day pre k i two sets students benefit materials i preparing students kindergarten to prepare i need able give hands learning materials teach students alphabet my students range 4 5 years age they enthusiastic learners love coming school everyday my school variety students we many different languages school at one point classroom i seven different languages spoken home my school receive title i support years ago as pre k teacher receive students need school for instance english second language learners students poverty my students need what rhyme building words letter recognition sight word puzzles name these centers help develop literacy knowledge these materials used various ways classroom most materials introduced students small groups first this way shown properly handle use materials during small group time i able use materials assess student knowledge once understanding properly use materials placed literacy centers literacy centers independent activity i not placing i also use teaching assistant she able introduce materials show students properly use handle materials our school big respecting materials show pre k students respect materials early setting great foundation many students come poverty ell students these students not exposed variety materials help build literacy understanding these materials benefit students teaching letters sight words become reader these materials prepare students successful kindergarten year i would love pre k students prepared rather starting behind in kindergarten need know sight words know read,398.88000000000005,1
tx,mr,grades_prek_2,0,literacy_language,esl literacy,our school urban public school serves students grades ppk 5 2 ppcd classes autism unit i 2nd grade bilingual teacher stephen krashen says when schools provide children quality education primary language give two things knowledge literacy i teach neighborhood school serves 450 children my students live poor urban area students greater risk school failure i working improve future educational outcome promote success community literacy developed primary language transfers second language because learn read reading easier learn read language understand once read one language read general my students limited access books home school in order provide culturally linguistically appropriate instruction student need greater access reading materials with good supply books first second languages students go far beyond current economically disadvantaged situation become successful productive members society free voluntary reading helps components bilingual education it means developing knowledge culture literacy first language continuing first language development leads greater english proficiency the biggest problem students absence books first second languages your donations help better literacy urban economically disadvantaged children this impact not future improve community,796.19,1
ms,mrs,grades_3_5,4,math_science music_arts,appliedsciences visualarts,each day i teach class every grade i never bored constant change developmental needs creative capacities i encounter hourly this project help fund 5th grade students verge middle school grown dreams long way go these children living heart mississippi delta face challenges big small come school eager learn the 5th graders much express photography freeing medium explore world place as students learn photography elements principles design given tools necessary tell compelling story place people we begin lessons photography developed works then move compose good photograph explore work success photographers throughout ages students given assignments invite explore communities different lens we engage constructive critiques work constantly create clear concise image truth seen eyes budding young man woman mississippi delta my 5th grade students begging way heard they not say many words actions clear they want voice they want understand understood how accomplish evades times i excited see camera hands get ready world next generation photographer story tellers truth finders,228.83,1
nj,ms,grades_prek_2,27,literacy_language,literacy literature_writing,my students struggling readers i support students grades k 4 my students not reading grade level risk failing i requesting materials used struggling learners support learning receive whole group lesson my students live lower income area central new jersey many qualify free reduced lunch even though not afforded opportunities affluent areas afford still come school day excited learning the materials i requesting used small group rti instruction time my students receive intervention services gaps learning the materials help come research based interventions support students learning the hope receive intensive support outside classroom may able return classroom full time near future for younger grades i asking phonics based materials support reading my older students need materials support reading comprehension these materials also support important concepts identifying main idea details making inferences i requesting materials game find main idea i also requesting story works story works jr work important reading comprehension skills for younger students i requesting games practice important phonics skills imagine not able read text presented no clue read this frustration intensified world high stakes testing live help support struggling readers no longer struggling successful learners readers,278.88000000000005,0
az,ms,grades_prek_2,58,appliedlearning literacy_language,earlydevelopment literacy,today kindergartners stem school tomorrow scientists technologists engineers mathematicians in order become future professionals students need develop strong literacy skills writing journals crayons table caddies help build stem literacy skills my kindergarten classroom made diverse energetic 5 6 year olds southern arizona title i stem science technology engineering math school 99 free lunch more 1 2 students english language learners including refugees africa asia mexico middle east all come low income households living neighborhood apartments trailer parks seven different languages spoken classroom kindergarten often first place exposed literacy stem activities english they come homes reading writing not priorities making initial literacy gap wider their parents often not monies provide materials develop literacy stem skills home however strive best odds always excited come school learn besides teach something new every day i requesting writing journals crayons table caddies storing writing materials these materials integrate literacy science engineering learning tasks help students develop future stem professionals my students use materials daily literacy centers the writing journals give students practice need writing stories illustrating recording daily stem events journal writing also help express creative side learn sight words sentence story development there 60 pages journal drawing lined writing space used write stories along recording observations science engineering classroom projects the crayons give student opportunities express creative side write draw journals they store crayons table caddies with donation stem kindergartners express themselves project students opportunity strengthen literacy skills develop love learning my kindergartners love drawing writing stem projects create every day using crayons write new journals help make strong connections literacy stem topics,33.31,1
ok,ms,grades_prek_2,2,music_arts,music,my class self contained program students autism i work school 76 students reduced free lunch they need enhance social skills research studies indicate playing musical instrument improve major components social skills i teacher moore oklahoma 76 school population reduced free lunch they come homes families not able provide appropriate adequate educational experience children my program self contained students mild severe autism teach nine students whose age range 5 12 years old 77 non verbal rest limited vocabularies as might know children autism lack many different skills including social skills they live world they not make eye contact important component social interaction it extremely difficult perceive world others perception they cannot relate classmate friends even siblings we teachers try find tools teach develop important social skills for example hard participate group activities play parts create harmony team my students kids classical autism spectrum disorder tremendous difficulty develop social skills turn taking social play games group activities etc i believe i design musical games activities help build social skills i strongly believe exploring playing musical instruments group provide students following social benefits 1 they learn part group cooperation classmates 2 they see hear learn small roles playing group create unique pleasant music whole 3 they learn patiently wait turn without exhibiting inappropriate social behaviors 4 they build confidence important ingredient strength social skills 5 they learn classmates interests different instruments 6 they learn interact friends exchanging instruments musical sessions donation project help students build important social skills confidence self determination foundations developing academic skills donation project provides students dynamic learning environment fresh motivational this project gives students tools make learning teaching fun enthusiastic it also gives opportunity go beyond academic concepts,147.01999999999998,0
va,mr,grades_9_12,1,health_sports,teamsports,our athletes group roughly 60 kids work hard attain pretty impressive feats we urban school pretty lacking facilities we train paved surfaced wraps around baseball field softball field tennis courts partially parking lot our team represented state meet season indoor outdoor track past 9 years straight we also represented new balance national outdoor meet past 9 years we creative approach facility asphalt surface encompasses two fields tennis courts partially runs parking lot at state level produced many state performers one state champion years back at national level finished high 10th nation twice it goal not train kids better athletes well rounded people we volunteer often events throughout city mostly involving local road races athletes assist passing water serving food set tear mention things our team family we decent throwing facility involving chain link fence field discus area we simply lacking area actual discusses we rubber discs practicing not quality discs competition these new discs allow us versatility practice also allow us ability compete higher level better quality competition discs the equipment requested greatly improved quality practice sessions well ability compete well we currently take turns individual thrower practice wait retrieve discs next thrower the new discs allow us several athletes throw give feedback retrieve discs rather wait around one athlete throws this greatly improve effectiveness coaches,184.95,1
sc,mrs,grades_prek_2,0,literacy_language,literacy,my students need horseshoe shaped table better use teacher proximity encourage academic growth highly active learners all students would benefit learning sitting little closer we active group our classroom tables rectangles making harder stay close couple students benefit proximity instant feedback direct learning whether writing practicing fluency exploring better readers learning better cooperate group horseshoe shaped table allow sit right students quickly encourage stay focused task making learning efforts impactful with horseshoe shaped table teacher sits middle table student remains close teacher the teacher able focus every member small group always nearby watch learning offer instant feedback redirection students may otherwise become distracted suddenly classroom smaller place gentle behavior modification interventions given quick way students learn better focus remain task teacher never arm length away this table really impact second graders use throughout day every small group the horseshoe shaped table become valued resource learning students meet small group instruction learning conferences,284.58,1
